toast_item,reason,candidate_recipe_name,candidate_recipe_id,candidate_recipe_type,candidate_category,recipe_cost,menu_price,is_inactive,score
Cheddar Cheese (1/2 lb),fuzzy match,Cream Cheese 2oz.,401556376,Sides,MENU,0,,True,0.649
Cheddar Cheese (1/2 lb),fuzzy match,Dill Cream Cheese (half pint),239548270,Deli Case,MENU,1.9,1.9,False,0.638
Cheddar Cheese (1/2 lb),fuzzy match,Plain Cream Cheese (half pint),239549060,Deli Case,MENU,1.92,1.92,False,0.625
Cheese Blintzes (frozen) (v),fuzzy match,Blintzes (frozen bag of 4),238013764,Freezer,MENU,4.08,4.08,False,0.769
Cheese Blintzes (frozen) (v),fuzzy match,Pizza Bagels - 4-Frozen Cheese,375224072,Freezer,MENU,1.49,1.49,True,0.68
Cheese Blintzes (frozen) (v),fuzzy match,Hot Blintzes,842814175,Appetizers,MENU,2.49,2.49,False,0.647
Cheese Blintzes (frozen) (v),fuzzy match,"Blintzes, Platter",849917379,Dinner Catering,MENU,12.43,12.43,False,0.579
Cheese Blintzes (frozen) (v),fuzzy match,Cream Cheese 2oz.,401556376,Sides,MENU,0,,True,0.579
Cheese Blintzes (hot) (v),fuzzy match,Hot Blintzes,842814175,Appetizers,MENU,2.49,2.49,False,0.774
Cheese Blintzes (hot) (v),fuzzy match,Hot Blintz,842815210,Appetizers,MENU,2.49,2.49,False,0.69
Cheese Blintzes (hot) (v),fuzzy match,Beer Cheese,252640319,Appetizers,MENU,3.17,3.17,True,0.6
Cheese Blintzes (hot) (v),fuzzy match,"Blintzes, Platter",849917379,Dinner Catering,MENU,12.43,12.43,False,0.571
Cheese Blintzes (hot) (v),fuzzy match,Probitas Shot,562604321,Spirits,BAR,1.32,1.32,False,0.562
Chocolate Babka Slice (v),fuzzy match,Chocolate Cake - Slice,621144826,Pastries,MENU,1.14,1.14,False,0.878
Chocolate Babka Slice (v),fuzzy match,Chocolate Babka Loaf,471591660,Freezer,MENU,2.9,2.9,True,0.829
Chocolate Babka Slice (v),fuzzy match,"Babka Muffin, Chocolate",246966666,Pastries,MENU,0.64,0.64,True,0.791
Chocolate Babka Slice (v),fuzzy match,Chocolate Layer Cake - Slice,401515594,Pastries,MENU,1.16,1.16,False,0.766
Chocolate Babka Slice (v),fuzzy match,Chocolate Cake - 8in,312691918,Pastries,MENU,11.98,11.98,False,0.718
Chocolate Rugelach each (v),fuzzy match,"Rugelach, Chocolate - 1 each",338646536,Pastries,MENU,0.09,0.09,False,0.947
Chocolate Rugelach each (v),fuzzy match,Chocolate Sufganiyot,622637235,Holiday Items,MENU,0.8,0.8,False,0.684
Chocolate Rugelach each (v),fuzzy match,Chocolate Tartlets,545320774,Pastries,MENU,1.46,1.46,False,0.667
Chocolate Rugelach each (v),fuzzy match,Chocolate Cake - Slice,621144826,Pastries,MENU,1.14,1.14,False,0.651
Chocolate Rugelach each (v),fuzzy match,Chocolate Cream Sufganiyot,510290297,Holiday Items,MENU,0.8,0.8,False,0.636
Challah Loaf (Fridays Only),fuzzy match,Challah Loaf,245860740,Breads,MENU,1.38,1.38,False,0.649
Challah Loaf (Fridays Only),fuzzy match,"Challah - Decorative Loaf, small",632237639,Dinner Catering,MENU,5.21,5.21,False,0.63
Challah Loaf (Fridays Only),fuzzy match,Challah - Round w/ Raisins,475319143,Breads,MENU,2.04,2.04,False,0.609
Challah Loaf (Fridays Only),fuzzy match,Challah Roll,245858740,Breads,MENU,0.14,0.14,False,0.595
Challah Loaf (Fridays Only),fuzzy match,"Challah - Decorative Loaf, large",632237697,Dinner Catering,MENU,11.73,11.73,False,0.593
Challah Loaf (frozen),fuzzy match,Challah Loaf,245860740,Breads,MENU,1.38,1.38,False,0.774
Challah Loaf (frozen),fuzzy match,Challah Roll,245858740,Breads,MENU,0.14,0.14,False,0.71
Challah Loaf (frozen),fuzzy match,Challah - Round,475317693,Breads,MENU,1.21,1.21,False,0.688
Challah Loaf (frozen),fuzzy match,Frozen Paloma Cocktail,253785511,Cocktail List,BAR,3.41,3.41,False,0.683
Challah Loaf (frozen),fuzzy match,Challah Rolls (bag of 4),301912727,Breads,MENU,0.62,0.62,False,0.647
Choward's Lemon Mints,fuzzy match,"Candy,  C-Howard's Lemon Mints",413232677,Retail,MENU,0.9,0.9,False,0.889
Choward's Lemon Mints,fuzzy match,"Candy, C-Howard's Spearmint Mints",413234058,Retail,MENU,0.9,0.9,False,0.706
Choward's Lemon Mints,fuzzy match,"Candy, C-Howard's Violets",413235074,Retail,MENU,0.9,0.9,False,0.634
Choward's Lemon Mints,fuzzy match,"Candy, C-Howard's Scented Gum",413233021,Retail,MENU,0.9,0.9,False,0.533
Choward's Lemon Mints,fuzzy match,Leon Gold Rose,684911854,Wine,BAR,2.22,2.22,True,0.529
Choward's Spearmint Mints,fuzzy match,"Candy, C-Howard's Spearmint Mints",413234058,Retail,MENU,0.9,0.9,False,0.906
Choward's Spearmint Mints,fuzzy match,"Candy,  C-Howard's Lemon Mints",413232677,Retail,MENU,0.9,0.9,False,0.706
Choward's Spearmint Mints,fuzzy match,"Candy, C-Howard's Scented Gum",413233021,Retail,MENU,0.9,0.9,False,0.588
Choward's Spearmint Mints,fuzzy match,Hamantaschen - Chocolate Sprinkle ,1113910441,Pastries,MENU,0.29,0.29,False,0.545
Choward's Spearmint Mints,fuzzy match,Ford's Martini,484623322,Cocktail,BAR,2.12,2.12,False,0.541
Choward's Violet Mints,fuzzy match,"Candy, C-Howard's Violets",413235074,Retail,MENU,0.9,0.9,False,0.727
Choward's Violet Mints,fuzzy match,"Candy,  C-Howard's Lemon Mints",413232677,Retail,MENU,0.9,0.9,False,0.708
Choward's Violet Mints,fuzzy match,"Candy, C-Howard's Spearmint Mints",413234058,Retail,MENU,0.9,0.9,False,0.68
Choward's Violet Mints,fuzzy match,Charoset Pie,490457274,Holiday Items,MENU,7.83,7.83,False,0.545
Choward's Violet Mints,fuzzy match,Ford's Gimlet,484613627,Cocktail,BAR,1.77,1.77,False,0.545
Choward’s Scented Gum,fuzzy match,"Candy, C-Howard's Scented Gum",413233021,Retail,MENU,0.9,0.9,False,0.851
Choward’s Scented Gum,fuzzy match,"Candy, C-Howard's Spearmint Mints",413234058,Retail,MENU,0.9,0.9,False,0.612
Choward’s Scented Gum,fuzzy match,"Candy,  C-Howard's Lemon Mints",413232677,Retail,MENU,0.9,0.9,False,0.578
Choward’s Scented Gum,fuzzy match,"Seed & Mill, Chocolate",413242300,Retail,MENU,6.35,6.35,False,0.564
Choward’s Scented Gum,fuzzy match,Ford's Gimlet,484613627,Cocktail,BAR,1.77,1.77,False,0.562
Citizen Cider / Unified Press (16oz can),fuzzy match,Citizen Cider,499732131,Beer,BAR,2.77,2.77,True,0.578
Citizen Cider / Unified Press (16oz can),fuzzy match,Belleflower Violet Palms 16oz Can,1176827003,Beer,BAR,3.19,3.19,False,0.522
Citizen Cider / Unified Press (16oz can),fuzzy match, Jester King Le Petit Prince Farmhouse 16oz Can,833067715,Beer,BAR,2.88,2.88,True,0.488
Citizen Cider / Unified Press (16oz can),fuzzy match,Hot Corned Beef (4 oz.) Sandwich,240471688,Sandwiches,MENU,3.6,3.6,False,0.462
Citizen Cider / Unified Press (16oz can),fuzzy match,Hot Corned Beef (8 oz.) Sandwich,240472598,Sandwiches,MENU,6.12,6.12,False,0.462
Cinnamon Babka Slice (v),fuzzy match,Cinnamon Babka Loaf,471591882,Freezer,MENU,1.72,1.72,True,0.821
Cinnamon Babka Slice (v),fuzzy match,"Babka Muffin, Cinnamon",246966550,Pastries,MENU,0.37,0.37,True,0.78
Cinnamon Babka Slice (v),fuzzy match,Honey Cake - slice,621149792,Pastries,MENU,1.03,1.03,False,0.611
Cinnamon Babka Slice (v),fuzzy match,Cinnamon Raisin Bagel - Fresh ,606317604,Breads,MENU,0.26,0.26,False,0.596
Cinnamon Babka Slice (v),fuzzy match,Coffee Cake - Slice,472339488,Pastries,MENU,0.53,0.53,True,0.595
Coleslaw (half pint),multiple exact matches,Coleslaw (1/2 pint),842853102,Retail,MENU,0.86,0.86,False,1.0
Coleslaw (half pint),multiple exact matches,Coleslaw (Half Pint),1021105968,Deli Case,MENU,0.65,0.65,False,1.0
Cottage Cheese & Fresh Fruit Cup,fuzzy match,Passionfruit Cheesecake - Slice,592993931,Holiday Items,MENU,1.91,1.91,True,0.576
Cottage Cheese & Fresh Fruit Cup,fuzzy match,Whole Passionfruit Cheesecake,592997892,Holiday Items,MENU,6.37,6.37,True,0.576
Cottage Cheese & Fresh Fruit Cup,fuzzy match,"Mushroom, Egg & Cheese",409362374,Sandwiches,MENU,1.51,1.51,False,0.531
Cottage Cheese & Fresh Fruit Cup,fuzzy match,Mushroom Grilled Cheese,976728904,Sandwiches,MENU,4.71,4.71,True,0.528
Cottage Cheese & Fresh Fruit Cup,fuzzy match,Side of Cream Cheese,301813400,Sides,MENU,0.29,0.29,False,0.511
Cream Cheese (half pint),fuzzy match,Lox Cream Cheese (half pint),239550745,Deli Case,MENU,3.4,3.4,False,0.913
Cream Cheese (half pint),fuzzy match,Dill Cream Cheese (half pint),239548270,Deli Case,MENU,1.9,1.9,False,0.894
Cream Cheese (half pint),fuzzy match,Plain Cream Cheese (half pint),239549060,Deli Case,MENU,1.92,1.92,False,0.875
Cream Cheese (half pint),fuzzy match,Veggie Cream Cheese (half pint),239554050,Deli Case,MENU,1.79,1.79,False,0.857
Cream Cheese (half pint),fuzzy match,Scallion Cream Cheese (half pint),239548659,Deli Case,MENU,1.93,1.93,False,0.833
Deli Mustard (10oz),fuzzy match,Mustard Broccolini,551763074,Dinner Catering,MENU,2.8,2.8,False,0.629
Deli Mustard (10oz),fuzzy match,Side of Mustard,301816892,Sides,MENU,0.28,0.28,False,0.625
Deli Mustard (10oz),fuzzy match,Del Mar,348323773,Cocktail,BAR,2.69,2.69,False,0.583
Deli Mustard (10oz),fuzzy match,Deli Mustard (retail - 12 oz squeeze bottle),297616305,Deli Case,MENU,2.32,2.32,False,0.561
Deli Mustard (10oz),fuzzy match,Meletti Amaro,816679534,Spirits,BAR,1.05,1.05,False,0.533
Djuce Fizzy Rose,fuzzy match,Negroni de Maiz,715561094,Cocktail,BAR,3.27,3.27,False,0.516
Djuce Fizzy Rose,fuzzy match,Orange Juice,973681426,N/A Bev,BAR,1.02,1.02,False,0.5
Djuce Fizzy Rose,fuzzy match,Tucher Hefeweisen,421844816,Beer,BAR,1.72,1.72,True,0.485
Djuce Fizzy Rose,fuzzy match,Fried Brussels Sprouts,298744790,Appetizers,MENU,2.07,2.07,True,0.474
Djuce Fizzy Rose,fuzzy match,Leon Gold Rose,684911854,Wine,BAR,2.22,2.22,True,0.467
Djuce White Wine,fuzzy match,White Noise,307263921,Cocktail,BAR,1.86,1.86,False,0.593
Djuce White Wine,fuzzy match,Terraces White Gl,684912808,Wine,BAR,2.37,2.37,True,0.545
Djuce White Wine,fuzzy match,Punch Bowl Pitcher With Genever,484597561,Cocktail,BAR,8.34,8.34,False,0.511
Djuce White Wine,fuzzy match,Chocolate Cake - Slice,621144826,Pastries,MENU,1.14,1.14,False,0.5
Djuce White Wine,fuzzy match,Black and White Milkshake,401527771,Drinks,MENU,3.57,3.57,True,0.488
Double Dogs,fuzzy match,Hot Dogs,301802477,Sandwiches,MENU,2.73,2.73,False,0.632
Double Dogs,fuzzy match,Dot Dash,311635574,Cocktail,BAR,2.39,2.39,True,0.526
Double Dogs,fuzzy match,Bandolero,280317440,Cocktail,BAR,5.91,5.91,False,0.5
Double Dogs,fuzzy match,Leon Gold Rose,684911854,Wine,BAR,2.22,2.22,True,0.48
Double Dogs,fuzzy match,Sophie Siadou Glass,562623886,Wine,BAR,2.37,2.37,True,0.467
Everything Spice (4oz),fuzzy match,Retail - Everything Spice,413836310,Retail,MENU,1.19,1.19,False,0.744
Everything Spice (4oz),fuzzy match,Everything Bagel,246271713,Breads,MENU,0.18,0.18,False,0.667
Everything Spice (4oz),fuzzy match,Orange Juice - 8oz.,379458695,Drinks,MENU,1.8,1.8,False,0.556
Everything Spice (4oz),fuzzy match,Retail - Seedy Everything Crackers,425513959,Retail,MENU,1.46,1.46,False,0.538
Everything Spice (4oz),fuzzy match,Revery Sour,445373796,Cocktail,BAR,1.92,1.92,True,0.516
Farmers and Cooks Turkey (1/2 lb retail),fuzzy match,1/2 Sour Pickles (retail Quart),301895879,Deli Case,MENU,4.08,4.08,False,0.635
Farmers and Cooks Turkey (1/2 lb retail),fuzzy match,Cheddar Cheese (retail 1/2#),301897827,Deli Case,MENU,2.27,2.27,False,0.613
Farmers and Cooks Turkey (1/2 lb retail),fuzzy match,Swiss Cheese (retail 1/2#),301897650,Deli Case,MENU,1.45,1.45,False,0.6
Farmers and Cooks Turkey (1/2 lb retail),fuzzy match,Turkey by the 1/2#,301905560,Deli Case,MENU,4.28,4.28,False,0.56
Farmers and Cooks Turkey (1/2 lb retail),fuzzy match,Pearl Salami - 1/2# retail,375804563,Deli Case,MENU,3.34,3.34,False,0.533
Filthy / Tito's Bloody Mary,fuzzy match,Mamaleh's Bloody Mary,535295942,Cocktail,BAR,1.26,1.26,False,0.682
Filthy / Tito's Bloody Mary,fuzzy match,Tito's Milwaukee Bloody Mary,467841649,Cocktail,BAR,2.31,2.31,False,0.667
Filthy / Tito's Bloody Mary,fuzzy match,Bloody Mary Pitcher,624363677,Cocktail,BAR,5.59,5.59,False,0.651
Filthy / Tito's Bloody Mary,fuzzy match,Bloody Mary,485389419,Drinks,MENU,2.59,2.59,False,0.629
Filthy / Tito's Bloody Mary,fuzzy match,Virgin Bloody Moira,401549202,Drinks,MENU,1.35,1.35,True,0.558
Fooda Food,fuzzy match,Bloody Moira w/vodka,331240578,Cocktail,BAR,57.6,57.6,True,0.571
Fooda Food,fuzzy match,Old Fashioned,484616986,Cocktail,BAR,1.63,1.63,False,0.522
Fooda Food,fuzzy match,Old Fashioned ,1185714005,Cocktail,BAR,1.71,1.71,False,0.522
Fooda Food,fuzzy match,Bloody Moira for 1,401550472,Drinks,MENU,1.23,1.23,True,0.5
Fooda Food,fuzzy match,Bloody Moira for 2,401547997,Drinks,MENU,2.01,2.01,True,0.5
Fox's U Bet (22oz),fuzzy match,Bubbe's Broth - 12oz.,376421575,Drinks,MENU,0.78,0.78,False,0.467
Fruit Slice Candy each,fuzzy match,"Candy, Fruit Slice",413230709,Retail,MENU,0.66,0.66,False,1.0
Fruit Slice Candy each,fuzzy match,"Candy, Pickle Cotton Candy",413236627,Retail,MENU,2.54,2.54,False,0.611
Fruit Slice Candy each,fuzzy match,"Candy, Sesame Crunch",413237895,Retail,MENU,0.09,0.09,False,0.611
Fruit Slice Candy each,fuzzy match,Passionfruit Cheesecake - Slice,592993931,Holiday Items,MENU,1.91,1.91,True,0.609
Fruit Slice Candy each,fuzzy match,Honey Cake - slice,621149792,Pastries,MENU,1.03,1.03,False,0.606
GG's Sprinkle Cookie (v),fuzzy match,GG's Sprinkle Cookies,348846958,Pastries,MENU,0.11,0.11,False,0.974
